element,id,geometry,name,name:en,public_transport,operator
node,5454949004,POINT (139.5911667 35.4011996),港南中央,Konan-chuo,station,
node,5591788441,POINT (139.5959771 35.4090326),上大岡,Kamiooka,station,横浜市交通局
node,5591788444,POINT (139.5185313 35.4056591),踊場,Odoriba,,横浜市交通局
node,5591788445,POINT (139.5509416 35.4024586),舞岡,Maioka,station,横浜市交通局
node,5591788446,POINT (139.5594212 35.4025885),下永谷,Shimonagaya,station,横浜市交通局
node,6054866431,POINT (139.6417394 35.3770641),鳥浜,Torihama,station,
node,6054869524,POINT (139.6332331 35.3801794),南部市場,Nambu-Shijo,station,
node,6131416650,POINT (139.6468752 35.5534689),日吉,Hiyoshi,station,東急電鉄
node,6254629280,POINT (139.634683 35.5367416),綱島,Tsunashima,station,東京急行電鉄
node,6254638463,POINT (139.6313313 35.5103853),菊名,Kikuna,station,東京急行電鉄
node,6254641022,POINT (139.6279215 35.4896753),白楽,Hakuraku,station,東京急行電鉄
node,6254645691,POINT (139.6294747 35.4832475),東白楽,Higashi-hakuraku,station,東京急行電鉄
node,6449745750,POINT (139.6805815 35.5390249),矢向,Yako,station,
node,6679881387,POINT (139.5861148 35.4812012),羽沢横浜国大,Hazawa yokohama-kokudai,station,相模鉄道;東日本旅客鉄道
node,6802293266,POINT (139.5412811 35.5513481),市が尾,Ichigao,station,東急電鉄
node,6802306080,POINT (139.5588739 35.5775269),たまプラーザ,Tama-plaza,station,東急電鉄
node,6802316527,POINT (139.5534305 35.5686778),あざみ野,Azamino,station,東急電鉄
node,7047979337,POINT (139.6427467 35.4392259),石川町,Ishikawacho,station,東日本旅客鉄道
node,7048013177,POINT (139.6360365 35.4440822),関内,Kannai,station,東日本旅客鉄道
node,7096836747,POINT (139.527979 35.5434977),藤が丘,Fujigaoka,station,東京急行電鉄
node,7096971520,POINT (139.5049076 35.5362568),田奈,Tana,station,東京急行電鉄
node,7601088838,POINT (139.5896008 35.5353094),仲町台,Nakamachidai,station,横浜市交通局
node,7601120732,POINT (139.5001991 35.4142695),立場,Tateba,station,横浜市交通局
node,7601124723,POINT (139.4832081 35.4034432),下飯田,Shimoiida,station,横浜市交通局
node,7749849503,POINT (139.5536107 35.5680456),あざみ野,Azamino,station,横浜市交通局
node,7749865377,POINT (139.5350787 35.4011056),戸塚,Totsuka,station,横浜市交通局
node,7749865378,POINT (139.5113307 35.4111454),中田,Nakada,station,横浜市交通局
node,7749869512,POINT (139.5699517 35.5629066),中川,Nakagawa,station,横浜市交通局
node,7750187059,POINT (139.6120343 35.5274961),新羽,Nippa,station,横浜市交通局
node,7750187061,POINT (139.5742694 35.5454101),センター南,Center Minami,station,横浜市交通局
node,7750247043,POINT (139.6099757 35.429909),蒔田,Maita,station,横浜市交通局
node,7750247044,POINT (139.6020598 35.4232893),弘明寺,Gumyoji,station,横浜市交通局
node,7750247045,POINT (139.6173113 35.5088883),新横浜,Shin-yokohama,station,横浜市交通局
