name,name:en,public_transport,operator,lon,lat
下飯田,Shimoiida,station,横浜市交通局,139.4832081,35.4034432
あざみ野,Azamino,station,横浜市交通局,139.5536107,35.5680456
戸塚,Totsuka,station,横浜市交通局,139.5350787,35.4011056
中田,Nakada,station,横浜市交通局,139.5113307,35.4111454
中川,Nakagawa,station,横浜市交通局,139.5699517,35.5629066
新羽,Nippa,station,横浜市交通局,139.6120343,35.5274961
センター南,Center Minami,station,横浜市交通局,139.5742694,35.5454101
蒔田,Maita,station,横浜市交通局,139.6099757,35.429909
弘明寺,Gumyoji,station,横浜市交通局,139.6020598,35.4232893
新横浜,Shin-yokohama,station,横浜市交通局,139.6173113,35.5088883
北新横浜,Kita-shin-yokohama,station,横浜市交通局,139.6128054,35.5192766
高島町,Takashimacho,station,横浜市交通局,139.6238581,35.4584508
桜木町,Sakuragicho,station,横浜市交通局,139.630787,35.4496272
関内,Kannai,station,横浜市交通局,139.6367037,35.44533
伊勢佐木長者町,Isezaki-chojamachi,station,横浜市交通局,139.6327993,35.4410015
阪東橋,Bandobashi,station,横浜市交通局,139.6251489,35.4376268
岸根公園,Kishine-koen,station,横浜市交通局,139.6168238,35.4961511
三ツ沢上町,Mitsuzawa-kamicho,station,横浜市交通局,139.6056459,35.4764152
片倉町,Katakuracho,station,横浜市交通局,139.6064834,35.4900761
三ツ沢下町,Mitsuzawa-shimocho,station,横浜市交通局,139.6160911,35.4765085
横浜,Yokohama,station,横浜市交通局,139.6201667,35.4653773
吉野町,Yoshinocho,station,横浜市交通局,139.618715,35.4354327
中山,Nakayama,station,横浜市交通局,139.5401893,35.5148049
川和町,Kawawacho,station,横浜市交通局,139.5491324,35.5284609
都筑ふれあいの丘,Tsuzuki-fureainooka,station,横浜市交通局,139.5612641,35.5365578
日吉,Hiyoshi,station,横浜市交通局,139.6464819,35.5534441
日吉本町,Hiyoshi-honcho,station,横浜市交通局,139.6336227,35.5500655
高田,Takata,station,横浜市交通局,139.6200521,35.5496776
東山田,Higashi-yamata,station,横浜市交通局,139.6046897,35.554173
北山田,Kita-yamata,station,横浜市交通局,139.5921504,35.5610885
横浜,Yokohama,station,相模鉄道,139.6202973,35.4642692
花月総持寺,Kagetsu-Sojiji,station,京浜急行電鉄,139.6729989,35.5004391
京急鶴見,Keikyu Tsurumi,station,京浜急行電鉄,139.6780206,35.5072931
鶴見市場,Tsurumi-ichiba,station,京浜急行電鉄,139.6866962,35.5178357
元町・中華街,Motomachi-chukagai,station,横浜高速鉄道,139.6509129,35.4421165
日本大通り,Nihon-odori,station,横浜高速鉄道,139.6426718,35.4467354
馬車道,Bashamichi,station,横浜高速鉄道,139.6362973,35.4501475
みなとみらい,Minatomirai,station,横浜高速鉄道,139.6328453,35.4572327
新高島,Shin-Takashima,station,横浜高速鉄道,139.6266407,35.4619389
京急富岡,Keikyu Tomioka,station,京浜急行電鉄 (Keikyu Corporation),139.6297275,35.367138
杉田,Sugita,station,京浜急行電鉄 (Keikyu Corporation),139.6158364,35.383564
屏風浦,Byobugaura,station,京浜急行電鉄 (Keikyu Corporation),139.6103847,35.3942114
上大岡,Kamiooka,station,京浜急行電鉄,139.5966277,35.4090607
弘明寺,Gumyoji,station,京浜急行電鉄,139.5967939,35.4243499
井土ヶ谷,Idogaya,station,京浜急行電鉄,139.6005383,35.4339314
南太田,Minamiota,station,京浜急行電鉄,139.6131635,35.4368194
黄金町,Koganecho,station,京浜急行電鉄,139.623152,35.4399236
日ノ出町,Hinodecho,station,京浜急行電鉄,139.6267113,35.4455466
戸部,Tobe,station,京浜急行電鉄,139.6195351,35.4567461
京急東神奈川,Keikyu Higashi-Kanagawa,station,京浜急行電鉄,139.6345454,35.477267
能見台,Nokendai,station,京浜急行電鉄 (Keikyu Corporation),139.6294203,35.3608505
横浜,Yokohama,station,,139.6220811,35.466292
浅野,Asano,station,東日本旅客鉄道,139.6957044,35.4974338
安善,Anzen,station,東日本旅客鉄道,139.7008868,35.4996481
海芝浦,Umi-Shibaura,station,東日本旅客鉄道,139.700285,35.485904
鶴見小野,Tsurumiono,station,東日本旅客鉄道,139.680911,35.4972947
新芝浦,Shin-Shibaura,station,東日本旅客鉄道,139.7000251,35.4919545
弁天橋,Bentembashi,station,東日本旅客鉄道,139.6893894,35.4957391
国道,Kokudo,station,東日本旅客鉄道,139.675399,35.5009768
こどもの国,Kodomonokuni,station,東急電鉄,139.4864894,35.558128
新綱島,Shin-Tsunashima,station,,139.6361012,35.5358452
横浜羽沢（貨）,,station,,139.5895987,35.4834108
新横浜,Shin-Yokohama,station,,139.6174221,35.5072282
長津田,Nagatsuta,station,横浜高速鉄道,139.4938262,35.532086
長津田,Nagatsuta,station,東京急行電鉄,139.4939318,35.5319095
